MapUnit_Name,min_RBR,max_RBR,mean_RBR,median_RBR,sd_RBR,n_pixels
Singleleaf Pinyon / Muller Oak Woodland Association,11155637.71823776,1227024058.7705696,597766272,692287614.9014233,370803168,115.6253662109375
Joshua Tree - California Juniper / Nevada Ephedra Woodland Association,27700280.46217472,1440397289.2537038,704625408,724844867.2199942,262080880,344.4856872558594
California Juniper / Blackbush Woodland Association,2031647,1194551735.968302,635691456,715371653.1984671,357885792,420.49468994140625
Joshua Tree / Blackbush Woodland Association,84357408.8991984,741030642.6192285,384515136,385369523.6961498,158484864,26.446001052856445
