MapUnit_Name,veg_ha,pct_of_total
Total Burned Area,32.06880000002246,100
California Juniper / Blackbush Woodland Association,11.900708959689867,37.109929151329425
Joshua Tree - California Juniper / Nevada Ephedra Woodland Association,9.254608758987978,28.858606368125702
California Juniper / Muller Oak - Blackbush Woodland Association,5.1774873798572925,16.14493644867805
Singleleaf Pinyon / Muller Oak Woodland Association,3.2710044830237752,10.199959097382765
Catclaw Acacia - Desert Almond Shrubland Association,1.195077981339884,3.7266064877358893
Catclaw Acacia - (Sweetbush - Desert Lavender) Shrubland Association,0.720564715862833,2.246933829336702
Joshua Tree / Blackbush Woodland Association,0.5493477212608326,1.7130286174114648
